date,day_of_week,month,meal_slot,scenario,academic_event,is_raining,attendance_pct,actual_attendance
2024-01-01,0,1,breakfast,baseline,,0,0.4126,248
2024-01-01,0,1,lunch,baseline,,0,0.6714,403
2024-01-01,0,1,dinner,baseline,,0,0.8064,484
2024-01-02,1,1,breakfast,baseline,,0,0.4031,242
2024-01-02,1,1,lunch,baseline,,0,0.6398,384
2024-01-02,1,1,dinner,baseline,,0,0.731,439
2024-01-03,2,1,breakfast,baseline,,0,0.4193,252
2024-01-03,2,1,lunch,baseline,,0,0.6779,407
2024-01-03,2,1,dinner,baseline,,0,0.7967,478
2024-01-04,3,1,breakfast,baseline,,0,0.4906,294
2024-01-04,3,1,lunch,baseline,,0,0.657,394
2024-01-04,3,1,dinner,baseline,,0,0.6984,419
2024-01-05,4,1,breakfast,baseline,,0,0.4155,249
2024-01-05,4,1,lunch,baseline,,0,0.6778,407
2024-01-05,4,1,dinner,baseline,,0,0.747,448
2024-01-06,5,1,breakfast,weekend,,0,0.2837,170
2024-01-06,5,1,lunch,weekend,,0,0.7685,461
2024-01-06,5,1,dinner,weekend,,0,0.7736,464
2024-01-07,6,1,breakfast,best_menu,,0,0.5183,311
2024-01-07,6,1,lunch,best_menu,,0,0.8341,500
2024-01-07,6,1,dinner,best_menu,,0,0.9263,556
2024-01-08,0,1,breakfast,baseline,,0,0.4655,279
2024-01-08,0,1,lunch,baseline,,0,0.7418,445
2024-01-08,0,1,dinner,baseline,,0,0.7256,435
2024-01-09,1,1,breakfast,baseline,,0,0.4207,252
2024-01-09,1,1,lunch,baseline,,0,0.6645,399
2024-01-09,1,1,dinner,baseline,,0,0.8177,491
2024-01-10,2,1,breakfast,baseline,,0,0.4198,252
2024-01-10,2,1,lunch,baseline,,0,0.5916,355
2024-01-10,2,1,dinner,baseline,,0,0.789,473
2024-01-11,3,1,breakfast,baseline,,0,0.4696,282
2024-01-11,3,1,lunch,baseline,,0,0.5996,360
2024-01-11,3,1,dinner,baseline,,0,0.7639,458
2024-01-12,4,1,breakfast,baseline,,0,0.4579,275
2024-01-12,4,1,lunch,baseline,,0,0.6775,406
2024-01-12,4,1,dinner,baseline,,0,0.7634,458
2024-01-13,5,1,breakfast,weekend,,0,0.3016,181
2024-01-13,5,1,lunch,weekend,,0,0.7162,430
2024-01-13,5,1,dinner,weekend,,0,0.8229,494
2024-01-14,6,1,breakfast,best_menu,,0,0.5197,312
2024-01-14,6,1,lunch,best_menu,,0,0.7699,462
2024-01-14,6,1,dinner,best_menu,,0,0.854,512
2024-01-15,0,1,breakfast,baseline,,0,0.5038,302
2024-01-15,0,1,lunch,baseline,,0,0.5895,354
2024-01-15,0,1,dinner,baseline,,0,0.8081,485
2024-01-16,1,1,breakfast,baseline,,0,0.4379,263
2024-01-16,1,1,lunch,baseline,,0,0.6416,385
2024-01-16,1,1,dinner,baseline,,0,0.7852,471
2024-01-17,2,1,breakfast,baseline,,0,0.4786,287
2024-01-17,2,1,lunch,baseline,,0,0.6157,369
2024-01-17,2,1,dinner,baseline,,0,0.7223,433
2024-01-18,3,1,breakfast,baseline,,0,0.4431,266
2024-01-18,3,1,lunch,baseline,,0,0.5687,341
2024-01-18,3,1,dinner,baseline,,0,0.682,409
2024-01-19,4,1,breakfast,baseline,,0,0.4679,281
2024-01-19,4,1,lunch,baseline,,0,0.6405,384
2024-01-19,4,1,dinner,baseline,,0,0.7914,475
2024-01-20,5,1,breakfast,weekend,,0,0.3038,182
2024-01-20,5,1,lunch,weekend,,0,0.735,441
2024-01-20,5,1,dinner,weekend,,0,0.7639,458
2024-01-21,6,1,breakfast,best_menu,,0,0.5051,303
2024-01-21,6,1,lunch,best_menu,,0,0.7768,466
2024-01-21,6,1,dinner,best_menu,,0,0.8725,524
2024-01-22,0,1,breakfast,baseline,,0,0.4675,281
2024-01-22,0,1,lunch,baseline,,0,0.6096,366
2024-01-22,0,1,dinner,baseline,,0,0.7507,450
2024-01-23,1,1,breakfast,baseline,,0,0.4661,280
2024-01-23,1,1,lunch,baseline,,0,0.667,400
2024-01-23,1,1,dinner,baseline,,0,0.7441,446
2024-01-24,2,1,breakfast,baseline,,0,0.4471,268
2024-01-24,2,1,lunch,baseline,,0,0.5478,329
2024-01-24,2,1,dinner,baseline,,0,0.6632,398
2024-01-25,3,1,breakfast,pre_holiday,pre_holiday,0,0.3834,230
2024-01-25,3,1,lunch,pre_holiday,pre_holiday,0,0.43,258
2024-01-25,3,1,dinner,pre_holiday,pre_holiday,0,0.487,292
2024-01-26,4,1,breakfast,post_holiday,holiday,0,0.4232,254
2024-01-26,4,1,lunch,post_holiday,holiday,0,0.5262,316
2024-01-26,4,1,dinner,post_holiday,holiday,0,0.6707,402
2024-01-27,5,1,breakfast,post_holiday,post_holiday,0,0.377,226
2024-01-27,5,1,lunch,post_holiday,post_holiday,0,0.5005,300
2024-01-27,5,1,dinner,post_holiday,post_holiday,0,0.6162,370
2024-01-28,6,1,breakfast,best_menu,,0,0.4596,276
2024-01-28,6,1,lunch,best_menu,,0,0.8278,497
2024-01-28,6,1,dinner,best_menu,,0,0.9171,550
2024-01-29,0,1,breakfast,baseline,,0,0.3979,239
2024-01-29,0,1,lunch,baseline,,0,0.637,382
2024-01-29,0,1,dinner,baseline,,0,0.7182,431
2024-01-30,1,1,breakfast,baseline,,0,0.4508,270
2024-01-30,1,1,lunch,baseline,,0,0.7145,429
2024-01-30,1,1,dinner,baseline,,0,0.7356,441
2024-01-31,2,1,breakfast,baseline,,0,0.4565,274
2024-01-31,2,1,lunch,baseline,,0,0.6445,387
2024-01-31,2,1,dinner,baseline,,0,0.8316,499
2024-02-01,3,2,breakfast,baseline,,0,0.4628,278
2024-02-01,3,2,lunch,baseline,,0,0.7075,424
2024-02-01,3,2,dinner,baseline,,0,0.6787,407
2024-02-02,4,2,breakfast,baseline,,0,0.4166,250
2024-02-02,4,2,lunch,baseline,,0,0.6136,368
2024-02-02,4,2,dinner,baseline,,0,0.6674,400
